fnsPersonal,fnsTrading,hasAdditionalDetails,riskWarning,experienceLevel,hasDeposit,accountType,poiStatus,porStatus,hasPendingDeposit,username,showWizard,showWelcome,showDeposit,showRiskWarning,showPoiPor,showStartWizard,showAdditionalDetails,showFnsPersonal,showFnsTrading,customerCompliant,poiOcrStatus,poiStatusValue,porStatusValue,testId,showWelcomeBack
TRUE,TRUE,TRUE,FALSE,HIGH_EXPERIENCE,TRUE,REAL,NOT_VERIFIED,EMPTY,FALSE,TC154@a.com,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,NOT_UPLOADED,25-5721:TC #154,FALSE
TRUE,TRUE,TRUE,FALSE,EXPERT,FALSE,REAL,VERIFIED,EMPTY,FALSE,tc158@a.com,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,VERIFIED,NOT_UPLOADED,25-5724:TC #158,FALSE
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,DEMO,EMPTY,EMPTY,FALSE,tc175@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_UPLOADED,NOT_UPLOADED,25-5713:TC #175,FALSE
FALSE,FALSE,FALSE,FALSE,UNKNOWN,FALSE,REAL,EMPTY,EMPTY,FALSE,tc178@a.com,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NOT_VERIFIED,NOT_UPLOADED,NOT_UPLOADED,25-5692:TC #178,FALSE
FALSE,FALSE,FALSE,FALSE,UNKNOWN,FALSE,DEMO,EMPTY,EMPTY,FALSE,tc179@a.com,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,EMPTY,NOT_UPLOADED,NOT_UPLOADED,25-5693:TC #179,TRUE
FALSE,FALSE,TRUE,FALSE,UNKNOWN,FALSE,REAL,EMPTY,EMPTY,FALSE,tc180@a.com,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,EMPTY,NOT_UPLOADED,NOT_UPLOADED,25-5694:TC #180,FALSE
FALSE,FALSE,TRUE,FALSE,UNKNOWN,FALSE,DEMO,EMPTY,EMPTY,FALSE,tc181@a.com,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,EMPTY,NOT_UPLOADED,NOT_UPLOADED,25-5695:TC #181,FALSE
TRUE,FALSE,TRUE,FALSE,UNKNOWN,FALSE,REAL,EMPTY,EMPTY,FALSE,tc184@a.com,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,EMPTY,NOT_UPLOADED,NOT_UPLOADED,25-5698:TC #184,FALSE
TRUE,FALSE,TRUE,FALSE,UNKNOWN,FALSE,DEMO,EMPTY,EMPTY,FALSE,tc185@a.com,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,EMPTY,NOT_UPLOADED,NOT_UPLOADED,25-5699:TC #185,FALSE
TRUE,TRUE,TRUE,FALSE,LOW_EXPERIENCE,TRUE,REAL,EMPTY,VERIFIED,FALSE,tc193@a.com,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,VERIFIED,25-5725:TC #193,FALSE
TRUE,TRUE,TRUE,FALSE,EXPERT,TRUE,REAL,EMPTY,NOT_VERIFIED,FALSE,tc208@a.com,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED,25-5726:TC #208,FALSE
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,DEMO,EMPTY,EMPTY,FALSE,tc231@a.com,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_UPLOADED,25-5727:TC #231,TRUE
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,NOT_VERIFIED,TRUE,tc3@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,NOT_VERIFIED,25-5701:TC #3,TRUE
TRUE,TRUE,TRUE,FALSE,LOW_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,FALSE,tc37@a.com,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED,25-5715:TC #37,FALSE
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,VERIFIED,TRUE,tc4@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,VERIFIED,25-5702:TC #4,TRUE
TRUE,TRUE,TRUE,FALSE,LOW_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,VERIFIED,FALSE,tc42@a.com,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,VERIFIED,25-5716:TC #42,FALSE
TRUE,TRUE,TRUE,FALSE,HIGH_EXPERIENCE,FALSE,REAL,VERIFIED,VERIFIED,FALSE,tc58@a.com,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,EMPTY,VERIFIED,VERIFIED,25-5718:TC #58,FALSE
TRUE,TRUE,TRUE,FALSE,HIGH_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,TRUE,tc61@a.com,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED,25-5719:TC #61,FALSE
TRUE,TRUE,TRUE,FALSE,HIGH_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,FALSE,TC63@a.com,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NOT_VERIFIED,NOT_UPLOADED,NOT_VERIFIED,25-5720:TC #63,FALSE
TRUE,TRUE,TRUE,FALSE,EXPERT,FALSE,REAL,NOT_VERIFIED,VERIFIED,TRUE,TC78@a.com,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,VERIFIED,25-5722:TC #78,FALSE
TRUE,TRUE,TRUE,TRUE,NO_EXPERIENCE,FALSE,REAL,EMPTY,NOT_VERIFIED,TRUE,tc9@a.com,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,VERIFIED,UPLOADED,NOT_VERIFIED,25-5703:TC #9,FALSE
TRUE,TRUE,TRUE,FALSE,EXPERT,TRUE,REAL,EMPTY,VERIFIED,FALSE,TC96@a.com,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_UPLOADED,VERIFIED,25-5723:TC #96,FALSE
TRUE,TRUE,TRUE,FALSE,NO_EXPERIENCE,FALSE,REAL,NOT_VERIFIED,NOT_VERIFIED,TRUE,TC99@a.com,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,EMPTY,NOT_VERIFIED,NOT_VERIFIED,25-5707:TC #99,TRUE
