fnsPersonal,fnsTrading,hasAdditionalDetails,riskWarning,experienceLevel,hasDeposit,accountType,poiStatus,porStatus,hasPendingDeposit,username,showWizard,showWelcomeBack,showDeposit,showRiskWarning,showPoiPor,showStartWizard,showAdditionalDetails,showFnsPersonal,showFnsTrading,customerCompliant,poiOcrStatus,poiStatusValue,porOcrStatus,porStatusValue
true,true,true,false,HIGH_EXPERIENCE,true,REAL,NOT_VERIFIED,EMPTY,false,TC154@a.com,true,false,true,false,true,false,false,false,false,false,EMPTY,NOT_VERIFIED,EMPTY,NOT_UPLOADED
true,true,true,false,EXPERT,false,REAL,VERIFIED,EMPTY,false,tc158@a.com,true,false,true,false,false,false,false,false,false,false,EMPTY,VERIFIED,EMPTY,NOT_UPLOADED
true,true,true,false,NO_EXPERIENCE,false,DEMO,EMPTY,EMPTY,false,tc175@a.com,true,false,false,true,true,false,false,false,false,false,EMPTY,NOT_UPLOADED,EMPTY,NOT_UPLOADED
false,false,false,false,UNKNOWN,false,REAL,EMPTY,EMPTY,false,tc178@a.com,true,false,false,false,false,true,true,false,false,false,NOT_VERIFIED,NOT_UPLOADED,EMPTY,NOT_UPLOADED
false,false,false,false,UNKNOWN,false,DEMO,EMPTY,EMPTY,false,tc179@a.com,true,false,false,false,false,true,true,false,false,false,EMPTY,NOT_UPLOADED,EMPTY,NOT_UPLOADED
false,false,true,false,UNKNOWN,false,REAL,EMPTY,EMPTY,false,tc180@a.com,true,true,true,false,true,false,false,true,true,false,EMPTY,NOT_UPLOADED,EMPTY,NOT_UPLOADED
false,false,true,false,UNKNOWN,false,DEMO,EMPTY,EMPTY,false,tc181@a.com,true,true,false,false,true,false,false,true,true,false,EMPTY,NOT_UPLOADED,EMPTY,NOT_UPLOADED
true,false,true,false,UNKNOWN,false,REAL,EMPTY,EMPTY,false,tc184@a.com,true,true,true,false,true,false,false,true,true,false,EMPTY,NOT_UPLOADED,EMPTY,NOT_UPLOADED
true,false,true,false,UNKNOWN,false,DEMO,EMPTY,EMPTY,false,tc185@a.com,true,true,false,false,true,false,false,true,true,false,EMPTY,NOT_UPLOADED,EMPTY,NOT_UPLOADED
true,true,true,false,LOW_EXPERIENCE,true,REAL,EMPTY,VERIFIED,false,tc193@a.com,false,false,false,false,false,false,false,false,false,false,VERIFIED,UPLOADED,VERIFIED,VERIFIED
true,true,true,false,EXPERT,true,REAL,EMPTY,NOT_VERIFIED,false,tc208@a.com,false,false,false,false,false,false,false,false,false,false,VERIFIED,UPLOADED,NOT_VERIFIED,NOT_VERIFIED
true,true,true,true,NO_EXPERIENCE,false,DEMO,EMPTY,EMPTY,false,tc231@a.com,false,false,false,false,false,false,false,false,false,false,VERIFIED,UPLOADED,EMPTY,NOT_UPLOADED
true,true,true,true,NO_EXPERIENCE,false,REAL,NOT_VERIFIED,NOT_VERIFIED,true,tc3@a.com,true,false,true,false,true,false,false,false,false,false,EMPTY,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED
true,true,true,false,LOW_EXPERIENCE,false,REAL,EMPTY,NOT_VERIFIED,false,tc37@a.com,true,false,true,false,false,false,false,false,false,false,VERIFIED,UPLOADED,NOT_VERIFIED,NOT_VERIFIED
true,true,true,true,NO_EXPERIENCE,false,REAL,NOT_VERIFIED,VERIFIED,true,tc4@a.com,true,false,false,false,true,false,false,false,false,false,EMPTY,NOT_VERIFIED,VERIFIED,VERIFIED
true,true,true,false,LOW_EXPERIENCE,false,REAL,NOT_VERIFIED,VERIFIED,false,tc42@a.com,true,false,true,false,true,false,false,false,false,false,EMPTY,NOT_VERIFIED,VERIFIED,VERIFIED
true,true,true,false,HIGH_EXPERIENCE,false,REAL,VERIFIED,VERIFIED,false,tc58@a.com,true,false,true,false,false,false,false,false,false,true,EMPTY,VERIFIED,EMPTY,VERIFIED
true,true,true,false,HIGH_EXPERIENCE,false,REAL,EMPTY,NOT_VERIFIED,true,tc61@a.com,true,false,false,false,true,false,false,false,false,false,VERIFIED,UPLOADED,NOT_VERIFIED,NOT_VERIFIED
true,true,true,false,HIGH_EXPERIENCE,false,REAL,EMPTY,NOT_VERIFIED,false,TC63@a.com,true,false,true,false,true,false,false,false,false,false,NOT_VERIFIED,NOT_UPLOADED,NOT_VERIFIED,NOT_VERIFIED
true,true,true,false,EXPERT,false,REAL,NOT_VERIFIED,VERIFIED,true,TC78@a.com,true,false,false,false,true,false,false,false,false,false,EMPTY,NOT_VERIFIED,VERIFIED,VERIFIED
true,true,true,true,NO_EXPERIENCE,false,REAL,EMPTY,NOT_VERIFIED,true,tc9@a.com,true,false,false,false,true,false,false,false,false,false,VERIFIED,UPLOADED,NOT_VERIFIED,NOT_VERIFIED
true,true,true,false,EXPERT,true,REAL,EMPTY,VERIFIED,false,TC96@a.com,true,false,true,false,true,false,false,false,false,false,EMPTY,NOT_UPLOADED,VERIFIED,VERIFIED
true,true,true,false,NO_EXPERIENCE,false,REAL,NOT_VERIFIED,NOT_VERIFIED,true,TC99@a.com,true,false,true,true,true,false,false,false,false,false,EMPTY,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED
